"year","open","close","period","next_open","cum_days","G_rubw","G_rubp","G_sip","O_uni","P_obl","G_tru","G_bul","G_inf","G_hir","G_glu","N_dut","G_cra","G_sac","G_rus","G_con"
1978,1978-04-06,1978-06-06,61,1,61,43.4,1.79,11.3,0.91,0,7.86,39.2,5.13,13.9,0,3.51,0,0,0,0
1978,1978-06-07,1978-08-07,61,2,123,66.1,3.27,14.3,1.59,0,2.26,15.7,1.26,0.75,0,0,0,0.63,4.4,0
1978,1978-08-09,1978-10-09,61,64,186,83.8,3.94,17.9,1.47,0,0.34,3.77,0.08,0.01,0,0.17,0.42,0.34,2.35,0
1978,1978-12-12,1979-02-13,63,39,313,99,0.72,19.4,0.57,14.2,69.5,104,4.06,1.62,0,4.67,0,0.97,0,1.01
1979,1979-03-24,1979-05-30,67,1,419,97.1,3.93,15.8,3.63,1.72,14.1,107,11.5,31.9,63.6,17.9,0.65,3.44,7.45,0
1979,1979-05-31,1979-07-29,59,75,479,59.7,2.42,12.9,1.82,0,0.82,5.84,0.22,1.39,0.61,0.26,0.35,0.17,5.19,0.04
1979,1979-10-12,1979-12-02,51,3,605,105,3,7.6,2.05,0,0.3,9.74,0,0,18.7,0,0.2,0.6,3.75,5.79
1979,1979-12-05,1980-02-03,60,3,668,122,0.51,6.9,0.81,6.28,210,309,0,0,30.9,1.17,0.64,0,0,0
1980,1980-02-06,1980-04-06,60,9,731,49.7,0.32,6.9,1.07,0.85,51.7,436,11.3,17,70.3,3.94,0.68,0,0,0
1980,1980-04-15,1980-06-16,62,4,802,86.6,4.78,12.2,4.06,0.52,5.98,92.8,3.3,18.6,101,3.5,1.13,0.82,1.65,0
1980,1980-06-20,1980-08-10,51,1,857,72.4,2.8,8,1.7,0,1.87,7.49,0.3,0.37,3,0,0.5,0.3,2.12,0
1980,1980-08-11,1980-10-13,63,4,921,87.2,3.9,9.6,4.34,0,0.28,21.3,0,0,4.22,0,0.24,0.24,4.77,0
1980,1980-10-17,1980-12-08,52,59,977,128,4.31,16.7,2.75,10.2,1.23,19.2,0,0,20,1.59,0.39,0.78,0.78,2.06
1981,1981-02-05,1981-04-06,60,2,1096,58.4,0,19.6,2.85,3.09,38.6,202,8.84,22.4,60.7,4.79,0,0,0,0
1981,1981-04-08,1981-05-25,47,2,1145,90.6,13.4,23.5,9.42,3.52,9.6,487,12.2,74.4,176,22.1,1.5,3.11,10.8,0.43
1981,1981-05-27,1981-07-20,54,1,1201,54.1,1.89,9.8,6.97,0,1.42,16.5,0.76,1.89,10.4,0,0,0,3.07,0
1981,1981-07-21,1981-09-14,55,3,1257,82.3,7.77,8.6,6.39,0,0.58,14.6,0.19,1.16,8.12,0,0,0.74,5.57,0.02
1981,1981-09-17,1981-12-01,75,1,1335,150,4.53,13,5.61,0,0.27,23.4,0,0.14,29,0,0,0.82,6.15,3.52
1981,1981-12-02,1982-02-01,61,1,1397,105,0.34,8,4.69,3.67,117,107,1.05,0,34.6,0,0,0.38,0,2.14
1982,1982-02-02,1982-04-05,62,8,1460,70.1,1.65,10.8,3.79,5.05,45.8,407,9.89,41.6,50.5,5.98,1.65,0.66,0,0
1982,1982-04-13,1982-06-07,55,4,1523,76,21.1,34,7,2.55,3.83,72.7,6.03,11.2,67.3,5.68,2.2,8.93,13.3,0
1982,1982-06-11,1982-08-16,66,63,1593,102,18,19.9,5.66,0,0.66,9.3,1.26,2.52,18,2.52,1.84,11.15,9.3,0.97
1982,1982-10-18,1982-12-06,49,42,1705,78.2,3.53,6.6,2.73,0.21,0,2.08,0,0,11.2,0.62,0,0.21,0.62,0.42
1983,1983-01-17,1983-03-15,57,1,1804,45.7,0,3.7,0.81,8.96,69.8,203,12.9,30.9,21.5,2.87,2.15,0,0,0
1983,1983-03-16,1983-05-24,69,1,1874,44.4,0,9.3,3.01,0,35.7,71.2,17.8,82,61.7,5.34,1.19,0,2.37,0
1983,1983-05-25,1983-07-11,47,2,1922,42.4,1.3,2.6,3.52,0,1.46,3.46,0,1.52,2.6,0,0.43,0,1.3,0
1983,1983-07-13,1983-09-19,68,1,1992,57.8,3.61,5.8,4.25,0,0.11,9.34,0,0.3,3.01,0,0,0.6,3.91,0
1983,1983-09-20,1983-11-14,55,1,2048,197,12.3,4.9,9.14,0,0.56,22.6,0,0,20.4,0,0.37,1.11,4.82,6.26
1983,1983-11-15,1984-01-16,62,1,2111,118,1.98,3,3.84,0.04,5.65,22.4,0,0.33,34.6,0.33,0.66,0.66,2.64,0.58
1984,1984-01-17,1984-03-12,55,16,2167,25.7,0,1.7,1,0.56,22.2,13.2,0.19,1.67,7.42,0.19,0,0,0,0
1984,1984-03-28,1984-05-16,49,NA,2232,103,1.04,11,3.74,1.66,14.7,51.5,12.5,42.6,79,1.66,0,0.83,0.83,0
