"year","open","close","period","next_open","cum_days","G_sac","G_rubw","G_ten","G_rus","G_men","G_tum","G_hir","T_par","G_ung","G_bul","G_cal","T_qui","N_dut","G_sip","G_glu","G_hex","P_obl","G_con"
1986,1986-05-10,1986-05-22,12,1,12,10,30,0,0,0,0,0,0,0,30,20,0,0,20,10,0,0,0
1986,1986-05-23,1986-06-04,12,1,25,38,198,69,0,99,0,0,0,0,30,0,0,20,10,10,0,10,0
1986,1986-06-05,1986-06-17,12,1,38,0,187,79,10,0,0,0,0,0,20,0,0,10,10,10,0,0,0
1986,1986-06-18,1986-06-30,12,1,51,50,1401,384,207,0,10,0,0,20,266,39,0,198,20,39,49,30,0
1986,1986-07-01,1986-07-13,12,1,64,79,927,187,188,89,0,0,0,10,1594,0,39,985,98,178,30,196,20
1986,1986-07-14,1986-07-26,12,1,77,10,404,109,128,108,0,0,128,40,2707,0,10,197,40,207,0,40,0
1986,1986-07-27,1986-08-08,12,1,90,10,483,345,216,581,10,20,177,30,4510,0,20,60,138,89,0,0,10
1986,1986-08-09,1986-08-21,12,1,103,30,197,286,118,0,0,0,39,10,2620,0,0,40,39,40,0,0,0
1986,1986-08-22,1986-09-03,12,1,116,99,324,513,178,30,0,0,108,69,3889,10,30,89,10,247,30,0,0
1986,1986-09-04,1986-09-16,12,1,129,69,157,138,49,20,0,0,30,0,1122,0,20,60,10,89,0,0,0
1986,1986-09-17,1986-09-29,12,1,142,60,128,59,30,30,10,0,0,10,383,0,10,0,0,99,0,0,0
1986,1986-09-30,1986-10-12,12,1,155,10,60,49,20,10,40,0,0,0,69,0,0,0,0,0,0,0,0
1986,1986-10-13,1986-11-10,28,10,184,26,106,102,18,4,0,0,9,0,107,0,0,13,8,9,4,0,0
1986,1986-11-20,1986-12-01,11,1,205,70,896,568,110,200,0,0,0,20,324,0,0,100,0,527,10,40,20
1986,1986-12-02,1986-12-14,12,1,218,100,491,234,50,10,0,10,10,0,142,10,0,10,60,81,10,40,0
1986,1986-12-15,1986-12-26,11,1,230,80,262,132,50,270,0,0,0,10,941,0,0,60,60,132,0,120,10
1986,1986-12-27,1987-01-08,12,1,243,40,160,70,70,10,0,0,0,10,2723,0,0,141,100,172,0,380,0
1987,1987-01-09,1987-01-21,12,1,256,50,231,121,70,90,0,0,0,101,1458,30,0,100,50,71,20,180,0
1987,1987-01-22,1987-02-02,11,1,268,50,201,90,40,50,0,0,30,20,816,40,0,50,20,61,0,70,0
1987,1987-02-03,1987-02-15,12,1,281,0,354,30,80,0,0,0,90,20,760,0,0,20,0,40,0,0,0
1987,1987-02-16,1987-02-27,11,14,293,10,101,60,10,0,0,0,0,20,293,0,10,0,0,40,0,0,0
1987,1987-03-13,1987-03-25,12,48,319,30,395,70,20,0,0,0,0,10,394,0,0,10,20,172,40,10,0
1987,1987-05-12,1987-05-23,11,1,378,20,90,101,30,10,0,0,0,10,60,0,0,0,30,30,10,0,0
1987,1987-05-24,1987-06-05,12,1,391,20,60,211,20,10,0,0,0,0,60,10,0,0,30,10,10,0,0
1987,1987-06-06,1987-06-17,11,1,403,80,231,201,20,40,0,0,0,0,80,10,0,40,30,20,0,0,0
1987,1987-06-18,1987-06-30,12,1,416,513,543,624,111,231,0,0,0,30,231,10,10,231,30,180,10,0,80
1987,1987-07-01,1987-07-12,11,1,428,90,110,191,161,10,10,0,0,151,320,0,20,421,20,181,10,0,0
1987,1987-07-13,1987-07-25,12,1,441,70,302,392,362,101,60,0,0,120,2072,10,10,180,90,181,0,131,0
1987,1987-07-26,1987-08-06,11,1,453,20,513,242,905,20,0,0,0,0,3631,0,0,181,0,413,0,0,0
1987,1987-08-07,1987-08-19,12,1,466,40,579,472,825,0,70,0,20,101,4657,10,0,90,10,232,0,0,0
1987,1987-08-20,1987-08-31,11,26,478,0,181,322,443,0,0,0,70,70,2173,0,0,30,10,443,10,0,0
1987,1987-09-26,1987-10-08,12,NA,516,20,110,91,30,0,0,0,0,0,302,0,0,10,0,130,0,0,0
