"year","open","close","period","next_open","cum_days","G_bul","G_fal","T_qui","N_pac","N_inc","G_inf","G_tru","G_sci","G_glu","O_uni"
1998,1998-05-14,1998-05-23,9,1,9,8,3,8,1,1,5,265,3,2,0
1998,1998-05-24,1998-06-01,8,1,18,1,0,3,0,0,8,782,7,6,0
1998,1998-06-02,1998-06-11,9,1,28,0,2,1,2,2,7,683,1,22,0.842105263
1998,1998-06-12,1998-06-20,8,1,37,0,2,1,1,2,23,1153,0,2,0
1998,1998-06-21,1998-06-30,9,1,47,0,0,2,0,0,45,1529,0,7,1.684210526
1998,1998-07-01,1998-07-09,8,1,56,0,3,0,1,3,22,536,0,25,0
1998,1998-07-10,1998-07-19,9,1,66,0,2,0,0,1,21,477,0,8,0.842105263
1998,1998-07-20,1998-07-28,8,1,75,0,0,0,5,2,24,403,0,14,0
1998,1998-07-29,1998-08-07,9,1,85,0,0,0,0,0,11,177,0,15,0
1998,1998-08-08,1998-08-16,8,1,94,0,0,0,0,0,9,123,0,12,0
1998,1998-08-17,1998-08-26,9,1,104,0,1,0,10,0,4,31,0,9,0
1998,1998-08-27,1998-09-04,8,1,113,0,0,2,0,0,8,99,2,38,0
1998,1998-09-05,1998-09-14,9,1,123,0,0,0,0,0,0,0,0,13,0
1998,1998-09-15,1998-09-23,8,1,132,2,0,2,0,0,75,107,0,181,0
1998,1998-09-24,1998-10-03,9,1,142,3,0,3,1,0,157,148,1,596,0
1998,1998-10-04,1998-10-12,8,1,151,7,1,0,0,0,217,21,2,200,0
1998,1998-10-13,1998-10-22,9,1,161,19,0,13,1,0,516,27,0,300,0
1998,1998-10-23,1998-10-31,8,1,170,168,10,7,0,0,1526,47,3,438,0
1998,1998-11-01,1998-11-10,9,1,180,182,10,10,0,0,1219,37,0,475,0
1998,1998-11-11,1998-11-19,8,1,189,674,13,27,0,0,3207,108,0,1401,0
1998,1998-11-20,1998-11-29,9,17,199,269,17,10,7,10,1415,34,0,404,0
1998,1998-12-16,1998-12-25,9,1,225,101,3,45,8,11,70,39,2,23,6
1998,1998-12-26,1999-01-04,9,1,235,143,3,38,14,57,33,21,2,34,83
1999,1999-01-05,1999-01-14,9,1,245,180,3,70,30,18,11,31,3,73,74
1999,1999-01-15,1999-01-24,9,1,255,56,4,32,41,40,13,65,1,91,1
1999,1999-01-25,1999-02-03,9,1,265,0,1,1,1,0,0,21,0,50,2
1999,1999-02-04,1999-02-13,9,1,275,37,3,85,33,63,6,47,5,58,3
1999,1999-02-14,1999-02-23,9,1,285,18,6,48,22,15,2,23,2,19,0
1999,1999-02-24,1999-03-05,9,1,295,3,0,42,5,15,1,2,0,7,2
1999,1999-03-06,1999-03-15,9,1,305,33,1,33,4,0,3,3,0,0,2
1999,1999-03-16,1999-03-25,9,1,315,40,1,111,5,1,4,12,0,4,0
1999,1999-03-26,1999-04-04,9,1,325,32,6,38,25,5,8,81,0,9,6
1999,1999-04-05,1999-04-14,9,1,335,124,4,112,240,164,28,1284,24,12,20
1999,1999-04-15,1999-04-24,9,1,345,20,10,34,42,30,4,452,2,2,2
1999,1999-04-25,1999-05-04,9,1,355,12,4,4,7,2,4,255,3,1,7
1999,1999-05-05,1999-05-14,9,1,365,52,2,6,0,26,6,1256,2,14,4
1999,1999-05-15,1999-05-24,9,1,375,23,5,8,1,24,20,570,1,5,1
1999,1999-05-25,1999-06-03,9,1,385,4,5,0,0,4,6,152,0,4,1
1999,1999-06-04,1999-06-13,9,1,395,14,5,0,0,10,17,398,1,20,0
1999,1999-06-14,1999-06-23,9,1,405,2,10,1,4,3,9,171,0,2,0
1999,1999-06-24,1999-07-03,9,1,415,0,1,0,0,1,32,274,0,2,0
1999,1999-07-04,1999-07-13,9,NA,425,0,0,1,0,0,8,85,0,0,0
