"year","open","close","period","next_open","cum_days","N_pac","G_bul","T_qui"
2003,2003-08-31,2003-09-18,18,1,18,485.68,61.68,80.84
2003,2003-09-19,2003-10-07,18,1,37,77.47,128.41,727.58
2003,2003-10-08,2003-10-26,18,1,56,21.89,78.74,520.42
2003,2003-10-27,2003-11-14,18,1,75,7.37,4,267.37
2003,2003-11-15,2003-12-03,18,1,94,2.53,5.89,53.68
2003,2003-12-04,2003-12-22,18,1,113,0.63,2.11,54.95
2003,2003-12-23,2004-01-10,18,1,132,1.05,0.84,26.74
2004,2004-01-11,2004-01-29,18,1,151,0.63,0,3.16
2004,2004-01-30,2004-02-17,18,1,170,0.42,0,0.84
2004,2004-02-18,2004-03-07,18,1,189,0.42,0.21,1.05
2004,2004-03-08,2004-03-26,18,1,208,0,0,0.21
2004,2004-03-27,2004-04-14,18,1,227,0.63,0,0.21
2004,2004-04-15,2004-05-03,18,1,246,1.05,0,0.21
2004,2004-05-04,2004-05-22,18,1,265,22.95,0,1.26
2004,2004-05-23,2004-06-10,18,1,284,143.79,2.32,35.37
2004,2004-06-11,2004-06-29,18,1,303,182.94,14.74,60.42
2004,2004-06-30,2004-07-18,18,1,322,28.63,20.42,80.63
2004,2004-07-19,2004-08-06,18,1,341,24.42,29.5,131.37
2004,2004-08-07,2004-08-25,18,1,360,33.05,34.53,103.37
2004,2004-08-26,2004-09-13,18,373,379,30.32,29.08,229.05
2005,2005-09-21,2005-10-06,15,1,767,27.5,71.75,1002
2005,2005-10-07,2005-10-22,15,1,783,6.5,17.5,42.5
2005,2005-10-23,2005-11-07,15,1,799,9,56,278
2005,2005-11-08,2005-11-23,15,1,815,7,82.5,73
2005,2005-11-24,2005-12-09,15,1,831,6.75,3,61
2005,2005-12-10,2005-12-25,15,1,847,0.75,0.25,33.75
2005,2005-12-26,2006-01-10,15,1,863,0,0,2.75
2006,2006-01-11,2006-01-26,15,1,879,0,0.25,3.25
2006,2006-01-27,2006-02-11,15,1,895,0.5,0,1.25
2006,2006-02-12,2006-02-27,15,1,911,0,0,1.75
2006,2006-02-28,2006-03-15,15,1,927,0,0,0
2006,2006-03-16,2006-03-31,15,1,943,0.25,0,0.25
2006,2006-04-01,2006-04-16,15,1,959,10.5,0,1.25
2006,2006-04-17,2006-05-02,15,1,975,93.75,0.5,1.25
2006,2006-05-03,2006-05-18,15,1,991,309.25,4.75,14
2006,2006-05-19,2006-06-03,15,1,1007,313.5,4,110
2006,2006-06-04,2006-06-19,15,1,1023,142.75,6.75,49
2006,2006-06-20,2006-07-05,15,1,1039,57.25,18.25,83.5
2006,2006-07-06,2006-07-21,15,1,1055,46.5,18.75,178
2006,2006-07-22,2006-08-06,15,1,1071,78.5,56,279
2006,2006-08-07,2006-08-22,15,14,1087,257.5,54.25,211
2006,2006-09-05,2006-09-20,15,1,1116,326.25,36,356
2006,2006-09-21,2006-10-06,15,1,1132,476.13,31.38,1028
2006,2006-10-07,2006-10-22,15,1,1148,26,9,366
2006,2006-10-23,2006-11-07,15,1,1164,18.13,8.13,213
2006,2006-11-08,2006-11-23,15,1,1180,8,3.75,82
2006,2006-11-24,2006-12-09,15,1,1196,1.13,1.38,25.5
2006,2006-12-10,2006-12-25,15,1,1212,1.13,0.63,11.25
2006,2006-12-26,2007-01-10,15,1,1228,0.75,0,0.5
2007,2007-01-11,2007-01-26,15,1,1244,0,0,0.75
2007,2007-01-27,2007-02-11,15,1,1260,0.13,0,0.88
2007,2007-02-12,2007-02-27,15,1,1276,0,0,0.38
2007,2007-02-28,2007-03-15,15,1,1292,0.13,0,0.13
2007,2007-03-16,2007-03-31,15,1,1308,0,0,0.13
2007,2007-04-01,2007-04-16,15,1,1324,4,0,0
2007,2007-04-17,2007-05-02,15,1,1340,64.26,0.13,0.63
2007,2007-05-03,2007-05-18,15,1,1356,122,1.63,4
2007,2007-05-19,2007-06-03,15,NA,1372,2112,12,52.5
