"year","open","close","period","next_open","cum_days","G_bul","G_rubw","G_glu","G_sci","G_inf","G_sac","T_par","G_hir","G_tru","G_ten","G_sip","N_inc","G_cal"
1989,1989-04-03,1989-04-07,4,1,4,51,51,26,0,26,0,0,52,0,0,0,0,0
1989,1989-04-08,1989-04-21,13,1,18,228,219,292,27,37,55,0,18,0,73,18,36,9
1989,1989-04-22,1989-05-05,13,1,32,591,242,242,299,72,108,0,188,27,45,72,18,36
1989,1989-05-06,1989-05-19,13,1,46,242,206,170,63,9,45,0,9,9,27,18,0,9
1989,1989-05-20,1989-06-05,16,1,63,73,244,37,52,45,51,0,22,22,30,37,15,22
1989,1989-06-06,1989-06-19,13,1,77,0,72,18,9,0,9,0,0,0,0,0,0,9
1989,1989-06-20,1989-07-03,13,1,91,9,90,18,27,36,90,0,0,0,18,9,0,18
1989,1989-07-04,1989-07-17,13,1,105,0,45,0,18,63,27,0,18,9,9,18,18,0
1989,1989-07-18,1989-07-31,13,1,119,0,27,0,9,0,0,0,0,0,0,0,0,0
1989,1989-08-01,1989-08-14,13,1,133,18,134,0,9,18,0,0,0,0,18,18,0,0
1989,1989-08-15,1989-08-28,13,1,147,0,27,0,0,0,0,0,0,0,0,0,0,0
1989,1989-08-29,1989-09-11,13,1,161,0,0,0,0,0,0,0,0,0,0,0,9,0
1989,1989-09-12,1989-09-25,13,21,175,0,99,9,0,0,0,0,0,0,0,0,18,0
1989,1989-10-16,1989-10-29,13,1,209,5,34,6,4,0,3,0,0,0,9,3,0,0
1989,1989-10-30,1989-11-12,13,1,223,4,54,14,13,0,3,0,0,0,6,3,0,0
1989,1989-11-13,1989-11-26,13,1,237,2,63,13,4,0,3,0,0,0,7,0,1,0
1989,1989-11-27,1989-12-10,13,1,251,6,109,26,10,0,47,1,0,0,0,6,0,0
1989,1989-12-11,1989-12-24,13,1,265,14,40,20,0,2,16,9,0,0,7,1,0,0
1989,1989-12-25,1990-01-07,13,1,279,40,72,14,3,7,22,209,1,11,1,13,0,0
1990,1990-01-08,1990-01-21,13,1,293,88,55,34,8,60,14,160,4,108,1,4,0,0
1990,1990-01-22,1990-02-04,13,1,307,280,33,63,6,56,9,110,3,50,3,1,0,0
1990,1990-02-05,1990-02-18,13,1,321,425,41,149,37,74,7,24,33,47,4,3,0,0
1990,1990-02-19,1990-03-04,13,1,335,222,39,54,17,73,12,1,58,33,1,2,11,0
1990,1990-03-05,1990-03-18,13,1,349,127,36,53,29,57,10,8,41,13,6,1,56,0
1990,1990-03-19,1990-04-01,13,1,363,155,26,34,90,56,29,1,50,12,8,1,13,0
1990,1990-04-02,1990-04-15,13,NA,377,79,17,29,50,11,10,9,12,2,0,1,1,0
