"year","open","close","period","next_open","cum_days","G_bul","T_qui","G_rubw","G_sac","G_glu","T_iot","N_pac","N_dut","G_sci","G_tru","N_inc"
1997,1997-12-01,1997-12-17,16,1,16,180,382,262,0,60,5,55,14,18,14,152
1997,1997-12-18,1998-01-03,16,1,33,60,184,134,5,41,18,9,5,0,0,110
1998,1998-01-04,1998-01-21,17,1,51,152,78,60,9,64,28,18,5,0,14,69
1998,1998-01-22,1998-02-07,16,1,68,249,92,18,14,313,115,41,9,0,5,156
1998,1998-02-08,1998-02-24,16,1,85,134,64,0,0,322,120,41,0,0,9,69
1998,1998-02-25,1998-03-14,17,1,103,78,41,0,0,239,74,152,0,14,0,166
1998,1998-03-15,1998-03-31,16,1,120,83,170,0,0,87,46,60,5,101,14,157
1998,1998-04-01,1998-04-18,17,1,138,175,387,5,0,184,32,106,0,276,147,207
1998,1998-04-19,1998-05-05,16,1,155,304,2067,14,0,253,14,166,18,203,69,336
1998,1998-05-06,1998-05-24,18,1,174,78,2463,5,0,64,5,64,0,69,14,51
1998,1998-05-25,1998-06-09,15,1,190,64,1768,5,0,51,9,23,5,14,14,60
1998,1998-06-10,1998-06-26,16,1,207,115,1819,18,0,64,0,14,990,37,9,55
1998,1998-06-27,1998-07-13,16,1,224,83,548,5,0,46,0,9,170,18,0,51
1998,1998-07-14,1998-07-17,3,3,228,0,240,0,0,40,0,0,40,20,0,40
1998,1998-07-20,1998-08-03,14,1,245,90,191,16,0,27,0,11,1324,11,11,202
1998,1998-08-04,1998-08-18,14,1,260,128,622,80,5,43,0,21,888,5,11,398
1998,1998-08-19,1998-09-02,14,1,275,32,372,154,16,21,0,0,223,53,0,133
1998,1998-09-03,1998-09-17,14,1,290,27,117,319,5,11,0,5,117,32,21,80
1998,1998-09-18,1998-10-02,14,1,305,5,37,622,80,16,0,0,261,21,27,64
1998,1998-10-03,1998-10-17,14,1,320,48,11,537,43,37,0,0,394,27,0,213
1998,1998-10-18,1998-11-01,14,1,335,16,37,463,101,37,0,5,96,5,5,127
1998,1998-11-02,1998-11-16,14,1,350,128,309,452,74,37,0,0,112,16,11,239
1998,1998-11-17,1998-12-01,14,172,365,250,495,314,37,96,0,16,43,0,0,755
1999,1999-05-22,1999-06-07,16,1,553,9,681,0,0,32,0,9,0,14,5,37
1999,1999-06-08,1999-06-24,16,1,570,14,396,0,0,28,0,18,0,14,5,50
1999,1999-06-25,1999-07-12,17,1,588,5,23,0,0,5,0,14,18,5,5,5
1999,1999-07-13,1999-07-29,16,1,605,221,262,5,5,46,0,5,1059,37,28,1224
1999,1999-07-30,1999-08-15,16,1,622,69,46,32,0,5,0,9,212,23,55,571
1999,1999-08-16,1999-09-02,17,1,640,37,55,129,9,9,0,5,74,28,111,493
1999,1999-09-03,1999-09-19,16,1,657,5,87,143,9,9,0,0,51,64,32,170
1999,1999-09-20,1999-10-07,17,1,675,5,14,83,28,5,0,0,14,28,41,128
1999,1999-10-08,1999-10-24,16,1,692,14,9,249,60,9,0,5,14,14,14,23
1999,1999-10-25,1999-11-10,16,1,709,18,28,203,55,14,0,0,0,9,14,18
1999,1999-11-11,1999-11-28,17,1,727,32,23,78,5,28,0,0,0,5,23,55
1999,1999-11-29,1999-12-15,16,1,744,276,14,83,0,74,0,0,23,0,212,318
1999,1999-12-16,2000-01-01,16,1,761,221,5,83,9,92,0,9,18,5,290,245
2000,2000-01-02,2000-01-19,17,13,779,267,18,37,0,64,28,5,0,0,9,161
2000,2000-02-01,2000-02-23,22,1,814,118,24,14,0,162,415,7,0,7,7,104
2000,2000-02-24,2000-03-17,22,1,837,48,3,10,0,80,97,10,0,3,14,86
2000,2000-03-18,2000-04-09,22,1,860,83,52,7,0,353,197,28,0,7,76,415
2000,2000-04-10,2000-05-02,22,1,883,235,311,7,0,467,21,7,0,52,211,622
2000,2000-05-03,2000-05-25,22,1,906,201,1373,0,0,190,21,55,0,66,287,346
2000,2000-05-26,2000-06-17,22,1,929,159,698,3,0,69,0,10,45,97,86,301
2000,2000-06-18,2000-07-10,22,NA,952,66,290,0,0,62,0,0,1715,31,52,397
