"year","open","close","period","next_open","cum_days","N_pac","G_bul","T_qui","G_glu","O_uni","G_sci"
1990,1990-08-23,1990-09-11,19,1,19,1038.302041,5041.17551,936.4897959,46.8244898,15.60816327,0
1990,1990-09-12,1990-10-01,19,1,39,161.0925555,771.1055284,312.339621,73.86229508,0,0
1990,1990-10-02,1990-11-26,55,1,95,302.4,762.1573823,266.4,482.6355946,24.12130886,0
1990,1990-11-27,1991-01-21,55,57,151,254.6285714,52.41904762,21.94285714,801.5238095,0,5.485714286
1991,1991-03-19,1991-04-07,19,1,227,10.07874016,7.05511811,1.007874016,45.85826772,0,0
1991,1991-04-08,1991-04-27,19,118,247,70.57777778,322.8,160.1333333,28.88888889,0,0
1991,1991-08-23,1991-09-11,19,1,384,0,0,0,0,0,0
1991,1991-09-12,1991-10-01,19,1,404,0,0,0,0,0,0
1991,1991-10-02,1991-11-26,55,1,460,0,6.857142857,0,0,0,0
1991,1991-11-27,1992-01-21,55,78,516,78.76923077,27.07692308,19.69230769,2.461538462,0,0
1992,1992-04-08,1992-04-27,19,1,613,2024.670747,717.7817983,173.0522167,476.4952381,0,0
1992,1992-04-28,1992-05-17,19,1,633,574.4792079,945.3623762,20.65742574,97.9009901,0,0
1992,1992-05-18,1992-06-06,19,1,653,6168.307793,1232.916444,740.2653847,856.9103778,0,0
1992,1992-06-07,1992-06-26,19,1,673,2721.469388,511.5102041,151.5102041,372.5714286,0,18.93877551
1992,1992-06-27,1992-07-16,19,25,693,25.6,0,0,0,0,0
1992,1992-08-10,1992-08-22,12,1,730,285.4348178,503.1902834,37.00080972,21.14331984,0,0
1992,1992-08-23,1992-09-11,19,1,750,90.43478261,361.7391304,13.91304348,13.91304348,0,0
1992,1992-09-12,1992-10-01,19,57,770,634.1733333,395.76,0,51.66666667,0,0
1992,1992-11-27,1993-01-21,55,1,882,0,6.857142857,0,0,0,0
1993,1993-01-22,1993-03-18,55,1,938,84.19047619,4.571428571,19.80952381,0,0,14.85714286
1993,1993-03-19,1993-04-07,19,1,958,0,0,0,0,0,0
1993,1993-04-08,1993-04-27,19,1,978,237.3765766,93.34774775,8.475675676,0,0,0
1993,1993-04-28,1993-05-17,19,1,998,1919.140299,3288.835821,2798.710448,581.7313433,0,38.78208955
1993,1993-05-18,1993-06-06,19,65,1018,249.8704225,648.1126761,62.46760563,249.8704225,0,5.678873239
1993,1993-08-10,1993-08-22,12,1,1095,660.8930582,92.9380863,10.32645403,51.63227017,0,30.9793621
1993,1993-08-23,1993-09-11,19,1,1115,832.4274917,45.18726936,292.3218435,72.15070502,0,5.912690355
1993,1993-09-12,1993-10-01,19,1,1135,1836.322388,363.1426866,952.1671642,272.0477612,0.32,0
1993,1993-10-02,1993-10-21,19,1,1155,101.504,1435.264,7.808,0,23.424,0
1993,1993-10-22,1993-11-26,35,1,1191,4837.573333,3103.244444,2001.377778,560.9155556,0,0
1993,1993-11-27,1994-01-21,55,1,1247,1334.208955,525.4509349,84.13930348,691.7199012,2.195190948,0
1994,1994-01-22,1994-03-18,55,1,1303,42.37362637,7.120879121,0,21.36263736,0,0
1994,1994-03-19,1994-04-07,19,1,1323,620.1962264,25.84150943,0,38.76226415,0,0
1994,1994-04-08,1994-04-27,19,1,1343,3863.271724,3881.848276,310.368,270.912,0,0
1994,1994-04-28,1994-05-17,19,1,1363,1720.459034,3041.566897,73.30049261,265.4735764,0,0
1994,1994-05-18,1994-06-06,19,1,1383,0,0,0,0,0,0
1994,1994-06-07,1994-06-26,19,41,1403,0,0,0,0,0,0
1994,1994-08-06,1994-08-22,16,1,1460,0,0,0,0,0,0
1994,1994-08-23,1994-09-11,19,1,1480,0,25.6,0,0,0,0
1994,1994-09-12,1994-10-01,19,1,1500,0,12.8,0,0,0,0
1994,1994-10-02,1994-10-21,19,1,1520,256,76.8,12.8,0,0,0
1994,1994-10-22,1994-11-26,35,1,1556,1613.248838,418.3253063,26.20025349,323.1364597,0,0
1994,1994-11-27,1995-01-21,55,1,1612,885.6103896,139.012987,33.03896104,979.6709957,4.571428571,0
1995,1995-01-22,1995-03-18,55,1,1668,0,0,0,0,0,0
1995,1995-03-19,1995-04-07,19,1,1688,204.8,38.4,12.8,12.8,0,0
1995,1995-04-08,1995-04-27,19,1,1708,38.4,102.4,0,0,0,0
1995,1995-04-28,1995-05-12,14,1,1723,213.3333333,1732.266667,17.06666667,8.533333333,0,0
1995,1995-05-13,1995-05-27,14,1,1738,110.9333333,1885.866667,8.533333333,0,0,0
1995,1995-05-28,1995-06-16,19,1,1758,6.4,19.2,0,0,0,0
1995,1995-06-17,1995-08-01,45,9,1804,0,0,0,0,0,0
1995,1995-08-10,1995-09-11,32,1,1845,453.8181818,387.8787879,162.9090909,62.06060606,0,31.03030303
1995,1995-09-12,1995-10-01,19,1,1865,396.8,435.2,172.8,19.2,6.4,6.4
1995,1995-10-02,1995-10-21,19,1,1885,953.6,1651.2,172.8,12.8,12.8,0
1995,1995-10-22,1995-11-26,35,1,1921,604.4444444,1198.222222,142.2222222,131.5555556,10.66666667,3.555555556
1995,1995-11-27,1996-01-21,55,1,1977,125.7142857,22.85714286,4.571428571,89.14285714,0,0
1996,1996-01-22,1996-03-18,56,1,2034,247.0175439,26.94736842,15.71929825,119.0175439,0,0
1996,1996-03-19,1996-04-07,19,1,2054,486.4,89.6,147.2,320,0,0
1996,1996-04-08,1996-04-27,19,1,2074,435.2,236.8,230.4,307.2,0,0
1996,1996-04-28,1996-05-17,19,1,2094,729.6,2380.8,198.4,691.2,0,0
1996,1996-05-18,1996-06-06,19,1,2114,364.8,780.8,134.4,403.2,0,0
1996,1996-06-07,1996-06-26,19,1,2134,2150.4,614.4,499.2,691.2,0,0
1996,1996-06-27,1996-07-16,19,1,2154,1446.4,326.4,409.6,371.2,0,19.2
1996,1996-07-17,1996-08-01,15,10,2170,400,800,200,384,0,0
1996,1996-08-11,1996-08-22,11,1,2191,458.6666667,1418.666667,330.6666667,170.6666667,0,32
1996,1996-08-23,1996-09-11,19,1,2211,147.2,300.8,134.4,51.2,0,70.4
1996,1996-09-12,1996-10-01,19,1,2231,12.8,51.2,0,12.8,0,6.4
1996,1996-10-02,1996-10-21,19,1,2251,32,6.4,25.6,44.8,96,57.6
1996,1996-10-22,1996-11-26,35,1,2287,10.66666667,3.555555556,53.33333333,1109.333333,88.88888889,17.77777778
1996,1996-11-27,1997-01-21,55,1,2343,34.28571429,11.42857143,11.42857143,786.2857143,9.142857143,0
1997,1997-01-22,1997-03-18,55,1,2399,50.28571429,6.857142857,11.42857143,50.28571429,2.285714286,4.571428571
1997,1997-03-19,1997-04-07,19,1,2419,467.2,57.6,108.8,70.4,0,0
1997,1997-04-08,1997-04-27,19,1,2439,569.6,364.8,294.4,326.4,0,0
1997,1997-04-28,1997-05-17,19,1,2459,742.4,992,467.2,1049.6,0,6.4
1997,1997-05-18,1997-06-06,19,1,2479,396.8,620.8,243.2,454.4,0,12.8
1997,1997-06-07,1997-06-26,19,1,2499,230.4,128,70.4,153.6,0,6.4
1997,1997-06-27,1997-08-03,37,8,2537,80.84210526,80.84210526,53.89473684,40.42105263,0,3.368421053
1997,1997-08-11,1997-08-22,11,1,2556,0,10.66666667,10.66666667,0,0,0
1997,1997-08-23,1997-09-11,19,1,2576,6.4,0,0,0,0,0
1997,1997-09-12,1997-10-01,19,1,2596,6.4,0,0,6.4,12.8,6.4
1997,1997-10-02,1997-10-21,19,1,2616,0,12.8,6.4,12.8,12.8,0
1997,1997-10-22,1997-11-26,35,1,2652,3.555555556,3.555555556,3.555555556,49.77777778,14.22222222,10.66666667
1997,1997-11-27,1998-01-21,55,1,2708,11.42857143,4.571428571,0,13.71428571,0,0
1998,1998-01-22,1998-03-18,55,1,2764,146.2857143,13.71428571,4.571428571,4.571428571,0,0
1998,1998-03-19,1998-04-07,19,1,2784,435.2,96,6.4,134.4,0,0
1998,1998-04-08,1998-04-27,19,1,2804,4079.718879,1437.66729,1365.496822,927.5454206,0,6.4
1998,1998-04-28,1998-05-17,19,1,2824,1996.8,1849.6,403.2,972.8,0,25.6
1998,1998-05-18,1998-06-06,19,1,2844,646.4,544,108.8,595.2,0,6.4
1998,1998-06-07,1998-06-26,19,1,2864,300.8,128,12.8,659.2,0,0
1998,1998-06-27,1998-08-03,37,8,2902,205.4736842,124.6315789,33.68421053,128,0,3.368421053
1998,1998-08-11,1998-08-22,11,1,2921,2912,362.6666667,149.3333333,53.33333333,0,0
1998,1998-08-23,1998-09-11,19,1,2941,5526.890511,1663.334307,506.6978102,79.52116788,0,0
1998,1998-09-12,1998-10-01,19,1,2961,876.8,665.6,76.8,57.6,128,6.4
1998,1998-10-02,1998-10-21,19,1,2981,371.2,761.6,115.2,51.2,44.8,0
1998,1998-10-22,1998-11-26,35,1,3017,1120.026633,1491.855181,143.9200999,109.0303787,29.25010404,0
1998,1998-11-27,1999-01-21,55,1,3073,358.8571429,93.71428571,29.71428571,397.7142857,0,0
1999,1999-01-22,1999-03-18,55,1,3129,16,0,2.285714286,25.14285714,0,0
1999,1999-03-19,1999-04-07,19,1,3149,57.6,0,12.8,12.8,0,0
1999,1999-04-08,1999-04-27,19,1,3169,441.6,204.8,32,38.4,0,0
1999,1999-04-28,1999-05-17,19,1,3189,985.6,1184,128,76.8,0,0
1999,1999-05-18,1999-06-06,19,1,3209,614.4,1452.8,256,192,0,0
1999,1999-06-07,1999-06-26,19,1,3229,121.6,320,64,38.4,0,12.8
1999,1999-06-27,1999-08-03,37,NA,3267,141.4736842,242.5263158,67.36842105,53.89473684,0,0
