"year","open","close","period","next_open","cum_days","G_bul","T_qui","N_inc","N_dut","O_uni","G_rubw"
1993,1993-08-12,1993-08-25,13,1,13,467,145,547,117,37,75
1993,1993-08-26,1993-09-08,13,1,27,1460,406,743,54,85,43
1993,1993-09-09,1993-09-22,13,1,41,448,67,504,59,37,57
1993,1993-09-23,1993-10-06,13,1,55,327,71,471,128,39,71
1993,1993-10-07,1993-10-20,13,1,69,121,12,557,114,39,43
1993,1993-10-21,1993-11-03,13,1,83,211,82,359,78,23,82
1993,1993-11-04,1993-11-17,13,1,97,217,82,568,107,98,139
1993,1993-11-18,1993-12-01,13,1,111,250,89,173,21,32,30
1993,1993-12-02,1993-12-15,13,1,125,346,205,247,0,73,75
1993,1993-12-16,1993-12-29,13,1,139,1037,547,260,9,14,43
1993,1993-12-30,1994-01-12,13,1,153,895,175,166,11,71,43
1994,1994-01-13,1994-01-26,13,1,167,184,16,102,5,7,11
1994,1994-01-27,1994-02-09,13,2,181,146,23,123,5,7,18
1994,1994-02-11,1994-02-24,13,1,196,659,294,179,7,57,30
1994,1994-02-25,1994-03-10,13,1,210,672,481,209,0,66,27
1994,1994-03-11,1994-03-24,13,1,224,749,695,82,0,11,9
1994,1994-03-25,1994-04-07,13,1,238,288,297,92,0,9,0
1994,1994-04-08,1994-04-21,13,1,252,108,135,36,0,0,0
1994,1994-04-22,1994-05-05,13,1,266,192,265,209,2,0,0
1994,1994-05-06,1994-05-19,13,1,280,250,523,258,7,2,0
1994,1994-05-20,1994-06-02,13,1,294,1062,1106,400,7,25,0
1994,1994-06-03,1994-06-16,13,1,308,511,287,120,14,14,0
1994,1994-06-17,1994-06-30,13,1,322,588,324,344,21,18,0
1994,1994-07-01,1994-07-14,13,1,336,1248,563,278,37,34,2
1994,1994-07-15,1994-07-28,13,1,350,511,154,220,11,14,2
1994,1994-07-29,1994-08-10,12,13,363,1037,457,265,12,15,2
1994,1994-08-23,1994-09-05,13,1,389,371,62,309,66,37,11
1994,1994-09-06,1994-09-19,13,1,403,159,44,342,32,25,43
1994,1994-09-20,1994-10-03,13,1,417,530,128,459,21,14,5
1994,1994-10-04,1994-10-17,13,1,431,549,81,248,80,16,16
1994,1994-10-18,1994-10-31,13,113,445,192,62,800,94,30,5
1995,1995-02-21,1995-03-06,13,1,571,69,26,9,11,62,9
1995,1995-03-07,1995-03-20,13,1,585,19,8,11,5,14,0
1995,1995-03-21,1995-04-03,13,1,599,44,16,17,0,23,7
1995,1995-04-04,1995-04-17,13,1,613,58,41,27,0,0,0
1995,1995-04-18,1995-05-01,13,1,627,58,115,14,0,2,0
1995,1995-05-02,1995-05-15,13,316,641,300,388,78,0,0,0
1996,1996-03-26,1996-04-08,13,1,970,115,276,152,0,0,0
1996,1996-04-09,1996-04-22,13,1,984,269,316,196,2,9,0
1996,1996-04-23,1996-05-06,13,1,998,313,279,157,11,7,0
1996,1996-05-07,1996-05-20,13,1,1012,1510,653,264,23,14,0
1996,1996-05-21,1996-06-03,13,1,1026,511,339,147,7,7,0
1996,1996-06-04,1996-06-17,13,1,1040,428,365,206,16,0,7
1996,1996-06-18,1996-07-01,13,1,1054,96,129,91,0,0,0
1996,1996-07-02,1996-07-15,13,1,1068,319,354,257,37,0,5
1996,1996-07-16,1996-07-29,13,1,1082,563,169,247,9,0,0
1996,1996-07-30,1996-08-12,13,1,1096,607,137,415,55,2,5
1996,1996-08-13,1996-08-26,13,1,1110,716,162,323,43,0,2
1996,1996-08-27,1996-09-09,13,509,1124,492,66,244,32,5,7
1998,1998-01-31,1998-02-13,13,1,1646,164.5714286,128,137.1428571,64,0,18.28571429
1998,1998-02-14,1998-02-27,13,1,1660,96,91.42857143,45.71428571,18.28571429,2.285714286,11.42857143
1998,1998-02-28,1998-03-13,13,1,1674,219.4285714,59.42857143,59.42857143,4.571428571,0,13.71428571
1998,1998-03-14,1998-03-27,13,1,1688,557.7142857,137.1428571,205.7142857,13.71428571,41.14285714,13.71428571
1998,1998-03-28,1998-04-10,13,1,1702,150.8571429,70.85714286,11.42857143,0,9.142857143,6.857142857
1998,1998-04-11,1998-04-24,13,1,1716,278.8571429,246.8571429,118.8571429,0,13.71428571,4.571428571
1998,1998-04-25,1998-05-09,14,78,1731,68.57142857,116.5714286,29.71428571,0,2.285714286,0
1998,1998-07-26,1998-08-04,9,1,1818,121.6,105.6,233.6,41.6,3.2,22.4
1998,1998-08-05,1998-08-14,9,1,1828,505.6,0,345.6,198.4,12.8,70.4
1998,1998-08-15,1998-09-03,19,1,1848,249.6,0,320,89.6,25.6,25.6
1998,1998-09-04,1998-09-13,9,1,1858,352,12.8,115.2,57.6,12.8,121.6
1998,1998-09-14,1998-09-23,9,1,1868,448,12.8,115.2,44.8,64,57.6
1998,1998-09-24,1998-10-03,9,1,1878,838.4,16,211.2,131.2,32,112
1998,1998-10-04,1998-10-13,9,1,1888,651.2,8,150.4,96,22.4,51.2
1998,1998-10-14,1998-10-23,9,1,1898,345.6,0,172.8,44.8,12.8,96
1998,1998-10-24,1998-11-02,9,1,1908,569.6,38.4,102.4,32,6.4,64
1998,1998-11-03,1998-11-12,9,1,1918,230.4,12.8,105.6,12.8,0,35.2
1998,1998-11-13,1998-11-22,9,1,1928,275.2,9.6,57.6,3.2,6.4,12.8
1998,1998-11-23,1998-12-02,9,1,1938,460.8,99.2,57.6,22.4,0,12.8
1998,1998-12-03,1998-12-12,9,1,1948,224,22.4,22.4,0,16,3.2
1998,1998-12-13,1998-12-22,9,1,1958,227.2,22.4,3.2,3.2,0,19.2
1998,1998-12-23,1999-01-01,9,1,1968,160,22.4,80,9.6,3.2,9.6
1999,1999-01-02,1999-01-11,9,13,1978,188.8,3.2,51.2,3.2,0,6.4
1999,1999-01-24,1999-01-30,6,1,1997,28.57142857,5.714285714,5.714285714,0,1.142857143,0
1999,1999-01-31,1999-02-06,6,1,2004,6.857142857,1.142857143,1.142857143,0,0,0
1999,1999-02-07,1999-02-13,6,1,2011,18.28571429,2.285714286,6.857142857,1.142857143,2.285714286,0
1999,1999-02-14,1999-02-20,6,1,2018,18.28571429,0,5.714285714,2.285714286,0,0
1999,1999-02-21,1999-02-27,6,1,2025,10.28571429,12.57142857,0,0,0,0
1999,1999-02-28,1999-03-06,6,1,2032,10.28571429,8,12.57142857,0,0,0
1999,1999-03-07,1999-03-13,6,1,2039,8,11.42857143,1.142857143,0,0,0
1999,1999-03-14,1999-03-20,6,1,2046,8,2.285714286,1.142857143,1.142857143,0,0
1999,1999-03-21,1999-03-27,6,1,2053,8,0,1.142857143,0,0,0
1999,1999-03-28,1999-04-03,6,1,2060,194.2857143,1.142857143,14.85714286,0,2.285714286,0
1999,1999-04-04,1999-04-10,6,1,2067,43.42857143,2.285714286,11.42857143,0,4.571428571,0
1999,1999-04-11,1999-04-17,6,1,2074,21.71428571,48,21.71428571,0,0,0
1999,1999-04-18,1999-05-01,13,1,2088,36.57142857,36.57142857,14.85714286,0,0,0
1999,1999-05-02,1999-05-08,6,1,2095,11.42857143,49.14285714,2.285714286,0,0,0
1999,1999-05-09,1999-05-15,6,1,2102,17.14285714,44.57142857,6.857142857,0,0,0
1999,1999-05-16,1999-05-22,6,1,2109,11.42857143,70.85714286,0,0,0,0
1999,1999-05-23,1999-05-29,6,1,2116,16,41.14285714,8,2.285714286,0,0
1999,1999-05-30,1999-06-05,6,1,2123,29.71428571,117.7142857,24,2.285714286,0,0
1999,1999-06-06,1999-06-12,6,1,2130,13.71428571,59.42857143,3.428571429,0,0,0
1999,1999-06-13,1999-06-19,6,1,2137,4.571428571,35.42857143,9.142857143,0,0,0
1999,1999-06-20,1999-06-26,6,NA,2144,10.28571429,22.85714286,8,0,0,0
