"year","open","close","period","next_open","cum_days","G_rubw","G_sac","P_obl","N_dut","G_glu","G_bul","G_men"
2004,2004-05-17,2004-06-13,27,1,27,22,140,0,9,7,0,2
2004,2004-06-14,2004-07-11,27,1,55,453,53,11,124,356,57,13
2004,2004-07-12,2004-08-08,27,1,83,406,114,15,145,158,44,2
2004,2004-08-09,2004-09-05,27,1,111,553,128,137,233,1010,194,7
2004,2004-09-06,2004-10-03,27,1,139,82,29,15,42,42,23,5
2004,2004-10-04,2004-10-31,27,1,167,110,88,14,28,88,8,2
2004,2004-11-01,2004-11-28,27,1,195,166,180,4,24,19,2,13
2004,2004-11-29,2004-12-26,27,1,223,180,78,3,14,29,3,2
2004,2004-12-27,2005-01-23,27,1,251,211,116,53,217,114,15,13
2005,2005-01-24,2005-02-20,27,1,279,219,128,42,160,213,53,4
2005,2005-02-21,2005-05-05,73,3,353,320,431,14,93,109,42,9
2005,2005-05-08,2005-06-04,27,1,383,103,281,3,14,18,3,7
2005,2005-06-05,2005-07-02,27,1,411,157,222,0,50,57,7,7
2005,2005-07-03,2005-07-30,27,1,439,154,163,16,51,128,38,10
2005,2005-07-31,2005-08-27,27,1,467,286,162,19,133,91,65,6
2005,2005-08-28,2005-09-24,27,1,495,43,36,4,16,19,7,5
2005,2005-09-25,2005-10-22,27,1,523,114,170,10,40,50,26,14
2005,2005-10-23,2005-11-19,27,1,551,49,93,5,10,19,10,18
2005,2005-11-20,2005-12-17,27,1,579,21,36,1,3,5,2,4
2005,2005-12-18,2006-01-14,27,1,607,213,235,75,224,110,119,27
2006,2006-01-15,2006-02-11,27,1,635,114,143,19,78,82,97,4
2006,2006-02-12,2006-03-11,27,NA,663,146,202,67,87,50,30,14
