"year","open","close","period","next_open","cum_days","T_qui","N_pac","N_dut","G_the","G_glu","N_inc","G_fal","G_bul","G_sci","G_cal","G_tru","G_rubw","G_inf","O_uni","G_sip"
1999,1999-08-15,1999-09-03,19,1,19,360,464,248,392,8,16,0,3.2,8,3.2,0,0,3.2,1.6,0
1999,1999-09-04,1999-09-23,19,1,39,128,491.2,408,379.2,9.6,176,0,3.2,16,3.2,0,1.6,1.6,3.2,0
1999,1999-09-24,1999-10-13,19,1,59,72,224,892.8,228.8,3.2,120,0,9.6,48,8,0,41.6,1.6,64,3.2
1999,1999-10-14,1999-11-02,19,1,79,152,152,411.2,64,4.8,176,0,35.2,25.6,12.8,0,41.6,8,32,16
1999,1999-11-03,1999-11-22,19,1,99,48,80,16,9.6,4.8,80,9.6,17.6,3.2,16,4.8,32,33.6,3.2,3.2
1999,1999-11-23,1999-12-12,19,1,119,40,155.2,27.2,35.2,24,171.2,59.2,102.4,4.8,33.6,19.2,12.8,89.6,3.2,8
1999,1999-12-13,2000-01-01,19,1,139,24,216,8,16,24,131.2,33.6,25.6,1.6,19.2,3.2,4.8,20.8,1.6,0
2000,2000-01-02,2000-01-21,19,1,159,48,102.4,0,8,64,46.4,4.8,9.6,1.6,8,3.2,1.6,4.8,1.6,0
2000,2000-01-22,2000-02-10,19,1,179,8,51.2,0,3.2,128,20.8,3.2,4.8,3.2,3.2,4.8,0,9.6,0,0
2000,2000-02-11,2000-03-01,19,1,199,40,288,0,32,440,80,12.8,11.2,6.4,8,6.4,0,9.6,0,0
2000,2000-03-02,2000-03-21,19,1,219,144,896,0,107.2,312,144,140.8,81.6,52.8,131.2,9.6,0,0,0,0
2000,2000-03-22,2000-04-10,19,1,239,352,352,0,808,38.4,11.2,24,24,72,40,0,0,0,3.2,0
2000,2000-04-11,2000-04-30,19,1,259,1800,720,0,432,139.2,48,120,72,83.2,112,0,0,0,1.6,0
2000,2000-05-01,2000-05-20,19,1,279,2496,840,0,92.8,80,40,28.8,27.2,30.4,40,0,0,0,0,0
2000,2000-05-21,2000-06-09,19,1,299,1024,184,0,8,8,24,32,16,16,16,0,0,3.2,0,0
2000,2000-06-10,2000-06-29,19,1,319,376,104,0,8,8,16,4.8,0,8,8,0,0,0,0,0
2000,2000-06-30,2000-07-19,19,1,339,472,136,592,4.8,16,48,3.2,0,8,0,0,0,0,3.2,0
2000,2000-07-20,2000-08-08,19,1,359,224,440,1736,27.2,104,280,6.4,12.8,8,0,0,0,3.2,3.2,0
2000,2000-08-09,2000-08-30,21,NA,381,560,600,448,12.8,400,184,6.4,8,1.6,0,0,0,16,4.8,0
